abet, To assist or encourage wrongdoing.
ably, In a skillful or competent manner.
acid, A corrosive substance.
acre, A unit of land measurement.
afar, At a great distance.
aged, Old or elderly.
agog, Extremely eager or excited.
aide, An assistant or helper.
alas, An expression of grief or pity.
ally, A friend or supporter.
amir, A title of Islamic rulers or leaders.
amok, In a frenzied or uncontrolled manner.
amid, In the midst or middle of.
ammo, Ammunition for firearms.
apex, The highest point or summit.
aqua, Water.
arch, A curved structure.
area, A specific region or space.
ajar, Slightly open or askew.
ashy, Pale or gray in color.
atom, The basic unit of matter.
auto, Short for automobile.
aunt, Your parent's sister.
aura, A distinctive atmosphere or quality.
avid, Enthusiastic and eager.
axle, A shaft on which a wheel rotates.
anti, Against or opposing.
able, Having the capability or skill.
ache, A persistent discomfort or pain.
babe, A term of endearment.
balm, A soothing or healing substance.
bark, The protective outer covering of a tree.
base, The lowest part or foundation.
bath, A place for washing the body.
beep, A short high-pitched sound.
belt, A flexible band worn around the waist.
bent, Not straight or curved.
bill, A statement of money owed.
bind, To tie or fasten tightly.
bird, A feathered animal.
bite, To grip or cut with the teeth.
blur, A hazy or indistinct appearance.
boat, A watercraft for traveling on water.
bolt, A fastener with a threaded end.
bond, A connection or link.
book, A written or printed work.
born, Brought into existence.
both, The combination of two things.
bulb, An underground part of a plant. A light source.
bunk, A bed that stacks one atop the other.
burl, A knot or lump in wood.
burn, To undergo combustion.
bush, A shrub or small tree.
bust, A sculpture of the upper body.
busy, Engaged in activity.
byte, A unit of digital information.
bane, A cause of harm or ruin.
bear, A large mammal with thick fur.
beet, A root vegetable.
bide, To wait patiently.
bike, A two-wheeled vehicle.
cafe, A place to get coffee and light refreshments.
calm, Serene and free from disturbance.
case, An instance or example.
cash, Money in the form of coins or banknotes.
cast, To throw or project something.
cave, A large underground hollow space.
cell, The basic structural and functional unit of life.
chat, Casual conversation or small talk.
chef, A professional cook or head of a kitchen.
chip, A small piece or fragment.
clap, To strike the hands together in applause.
clip, To cut or trim with scissors.
club, An organization or group of people with a common interest.
clue, A hint or piece of evidence.
coal, A black or brownish-black combustible mineral.
code, A system of rules or symbols.
coin, A round piece of money.
cold, Having a low temperature.
come, To approach or arrive at a place.
cook, To prepare food by heating it.
cool, Moderately cold or refreshing.
cope, To deal effectively with a difficult situation.
core, The central or most important part.
cork, A buoyant material used for sealing bottles.
corn, A cereal plant producing large grains.
crab, A marine crustacean with a broad shell.
crop, A cultivated plant that is grown for food.
cure, A remedy for illness or medical treatment.
curl, To form into a spiral or ringlet.
cusp, A pointed end or projection.
cute, Attractive in an endearing way.
daft, Silly or foolish.
dais, A raised platform for speakers.
dale, A valley or broad depression.
dame, A woman of rank or authority.
dare, To have the courage to do something.
dark, Lacking light or of low intensity.
date, A specific day of the month.
dawn, The early light before sunrise.
deaf, Unable to hear.
dear, Loved or cherished.
deed, An action or act.
deer, A hoofed animal found in forests.
defy, To openly resist or confront.
demo, A demonstration or sample.
dent, A small depression or hollow.
desk, A piece of furniture for writing or working.
dial, A face with numbers.
dice, Small cubes with dots for playing games.
diet, A regulated selection of food.
dirt, Loose earth or soil.
dive, To plunge into water.
dock, A platform for loading or unloading ships.
dome, A rounded roof or ceiling.
done, Completed or finished.
doom, A grim fate or destiny.
door, An entryway or barrier.
dose, A measured quantity of medicine.
dove, A bird symbolizing peace.
down, In a lower position or direction.
draw, To make a picture with a pencil or pen.
drip, To fall in drops or small quantities.
drop, To fall or allow something to fall.
drum, A percussion instrument.
duel, A formal combat between two individuals.
duke, A noble title or a high-ranking nobleman.
dull, Lacking brightness or sharpness.
dump, To dispose of in a careless manner.
dusk, The time just before nightfall.
duty, A moral or legal obligation.
earn, To receive payment for work.
ease, Comfort or freedom from difficulty.
east, The direction of the rising sun.
echo, A reflected sound.
edge, The boundary or margin.
edit, To prepare for publication.
eery, Strange or mysterious.
eave, The lower edge of a roof.
edgy, Nervous or irritable.
fade, To gradually lose color or brightness.
fair, Just and equitable.
fake, Not genuine or authentic.
fall, To descend freely under the influence of gravity.
fame, The state of being widely recognized and acclaimed.
farm, An area of land used for cultivation.
fast, Moving quickly.
fate, A predetermined course of events.
feel, To perceive through touch or emotion.
feet, The plural of foot
fell, Past tense of fall
fern, A type of green. A type of plant.
fest, A festive celebration or event.
file, A collection of data stored in a computer.
film, A motion picture or a thin layer covering a surface.
find, To discover or locate.
fine, Of high quality or excellence.
firm, Resolute and unyielding.
fish, Aquatic animals with gills and fins.
fist, A closed hand.
five, The number following four.
flag, A piece of fabric that represents a country.
flap, To move up and down like a bird's wings.
flat, Having a level and even surface.
flee, To run away or escape.
flex, To bend or contract.
flip, To turn or toss with a quick motion.
flow, The continuous movement of a liquid or gas.
foil, A thin sheet of metal.
folk, People in general or a particular group.
font, A set of type characters of a particular style and size.
food, Edible substances consumed for nourishment.
fool, A person lacking good sense or judgment.
foot, The lower extremity of the leg.
fork, A utensil with prongs used for eating.
form, The shape or structure of something.
fort, A fortified building or military stronghold.
four, The number following three.
fuel, Material used to produce heat or power.
full, Containing all that is possible. Opposite of hungry.
funk, A state of nervousness or fear. A kind of music.
furl, To roll or fold up tightly.
fuse, A device for igniting explosives.
gain, To obtain or acquire.
game, An activity for amusement or competition.
gate, A movable barrier for opening or closing an entrance.
gaze, To stare intently.
gear, Equipment or machinery.
gene, A unit of genetic information.
germ, A microorganism that can cause sickness.
gift, A present or token of goodwill.
girl, A female child or young woman.
give, To present or offer voluntarily.
glad, Feeling pleased or delighted.
glow, To emit a soft light.
goal, An aim or objective.
gold, A precious metal with a yellow color.
